code,PORTEFEUILLE,TITRE,DESCRIPTION,CLASSE,Quantité_Actif,COURS,Valo_Titre_CV,POIDS,ACTIF_NET_NET
0161145,016,1145,CIH,ACT,100791,400,40316400,1.51280620106339%,2665007584.69
0161146,016,1146,RISMA,ACT,19525,370,7224250,0.271078027751292%,2665007584.69
0161148,016,1148,ITISSALAT AL MAGHRIB,ACT,1048739,106.85,112057762.15,4.20478210995541%,2665007584.69
0161151,016,1151,ADDOHA,ACT,580665,29.9,17361883.5,0.651475950753047%,2665007584.69
0161157,016,1157,INVOLYS,ACT,13,176.5,2294.5,0.0000860973159394179%,2665007584.69
0161167,016,1167,M2M,ACT,70,467.95,32756.5,0.00122913346244042%,2665007584.69
0161171,016,1171,ATLANTASANAD,ACT,20416,135,2756160,0.103420343560508%,2665007584.69
0161172,016,1172,SNEP,ACT,6547,458,2998526,0.112514726683181%,2665007584.69
0161179,016,1179,CMT,ACT,5766,2100,12108600,0.454355179683607%,2665007584.69
0161180,016,1180,LABEL VIE,ACT,14050,4280,60134000,2.25642885016385%,2665007584.69
0161181,016,1181,ALLIANCES,ACT,38577,498,19211346,0.720873970879701%,2665007584.69
0161185,016,1185,DELTA HOLDING,ACT,95335,68,6482780,0.243255592863691%,2665007584.69
0161188,016,1188,BCP,ACT,205020,270,55355400,2.07711979200386%,2665007584.69
0161203,016,1203,LESIEUR,ACT,539145,344.95,185978067.75,6.97851926645205%,2665007584.69
0161208,016,1208,JET CONTRACTORS,ACT,3293,2600,8561800,0.321267378343913%,2665007584.69
0161210,016,1210,S2M,ACT,2459,556,1367204,0.0513020678760671%,2665007584.69
0161220,016,1220,TAQA MOROCCO ,ACT,1187,1945,2308715,0.0866307102937778%,2665007584.69
0161224,016,1224,COSUMAR,ACT,235650,202.95,47825167.5,1.7945602772295%,2665007584.69
0161226,016,1226,TOTALENERGIES MARKETING MAROC,ACT,21382,1598,34168436,1.28211402460134%,2665007584.69
0161231,016,1231,SODEP-MARSA MAROC,ACT,188472,901,169813272,6.37196205277416%,2665007584.69
0161232,016,1232,LAFARGE-HOLCIM MAROC,ACT,25761,1799,46344039,1.73898338099442%,2665007584.69
0161238,016,1238,IMMORENT INVEST,ACT,21557,91.5,1972465.5,0.0740135041765535%,2665007584.69
0161239,016,1239,MUTANDIS,ACT,38057,244.85,9318256.45,0.349652154970655%,2665007584.69
0161243,016,1243,BANK OF AFRICA,ACT,281900,209,58917100,2.21076669118949%,2665007584.69
0161244,016,1244,ATW,ACT,402222,731,294024282,11.0327746791085%,2665007584.69
0161246,016,1246,ARADEI CAPITAL,ACT,5653,440,2487320,0.093332567392649%,2665007584.69
0161250,016,1250,SOTHEMA,ACT,3587,1730,6205510,0.232851494894407%,2665007584.69
0161252,016,1252,TGCC,ACT,74917,834.3,62503253.1,2.34533115249165%,2665007584.69
0161258,016,1258,AKDITAL,ACT,40594,1119,45424686,1.70448618086331%,2665007584.69
0161261,016,1261,HPS (VN 10),ACT,34142,520,17753840,0.666183469870506%,2665007584.69
0161271,016,1271,CMGP GROUP,ACT,38595,376,14511720,0.544528281396544%,2665007584.69
0161275,016,1275,VICENNE,ACT,2062,420,866040,0.0324967180196877%,2665007584.69
0161276,016,1276,CASH PLUS,ACT,3454,290,1001660,0.0375856341180551%,2665007584.69
0161278,016,1278,SGTM,ACT,37378,835,31210630,1.17112724854141%,2665007584.69
016153125,016,153125,CD CIH du 23/10/2025  à  2.95%   5 ans  Fixe,TCN,400,99740.35,39896140,1.4970366399404%,2665007584.69
016201379,016,201379,BDT DU 05/08/2015 15 ANS à 4%,OBL,416,106747.26,44406860.16,1.66629395034782%,2665007584.69
016201432,016,201432,BDT du 16/05/2016 15 ans à 3.2%,OBL,600,103173.4,61904040,2.32284667239327%,2665007584.69
0162185,016,2185,OBL OCP PERPET du 14/05/18 Révis 10 ans 4.03%,OBL,630,104313.37,65717423.1,2.46593756346267%,2665007584.69
0165061,016,5061,OBLIGATION FT MIFTAH A2 du 15/11/2017 à 4.03%,OBL,140,77495.18,10849325.2,0.407102976454081%,2665007584.69
0165107,016,5107,OBL MIFTAH A2 du 09/12/2019 DU 3.51% AMORT,OBL,147,100155,14722785,0.552448146285955%,2665007584.69
0165116,016,5116,OBLIGATION A1 MIFTTAH 11/06/2021 12 ANS AMORT,OBL,517,55969.61,28936288.37,1.0857863420815%,2665007584.69
