code,PORTEFEUILLE,TITRE,DESCRIPTION,CLASSE,Quantité_Actif,COURS,Valo_Titre_CV,POIDS,ACTIF_NET_NET
0181252,018,1252,TGCC,ACT,19467,834.3,16241318.1,3.41423848544347%,475693721.14
0181258,018,1258,AKDITAL,ACT,15159,1119,16962921,3.56593334033259%,475693721.14
0181261,018,1261,HPS (VN 10),ACT,10460,520,5439200,1.14342480429739%,475693721.14
0181262,018,1262,CFG BANK,ACT,8152,230,1874960,0.394152774500924%,475693721.14
0181271,018,1271,CMGP GROUP,ACT,10449,376,3928824,0.825914622245712%,475693721.14
0181275,018,1275,VICENNE,ACT,1461,420,613620,0.128994765482601%,475693721.14
0181276,018,1276,CASH PLUS,ACT,1758,290,509820,0.107174002376617%,475693721.14
0181278,018,1278,SGTM,ACT,8552,835,7140920,1.50115918765688%,475693721.14
018201792,018,201792,BDT du 16/01/2023 atp  a 4.20%  10 ans,OBL,1,110402.31,110402.31,0.0232086960776823%,475693721.14
018201808,018,201808,BDT DU 20/03/2023 à 4.90% 15 ans ,OBL,53,119318.13,6323860.89,1.32939759533611%,475693721.14
018201837,018,201837,BDT du 18/09/2024 à 4%  10 ANS ATYP 02/01/2024,OBL,1,108473.11,108473.11,0.0228031410084716%,475693721.14
018201840,018,201840,BDT du 15/10/2024 à 3.50%  5 ANS ATYP 15/01/2024,OBL,44,103575.97,4557342.68,0.958041377775247%,475693721.14
0185107,018,5107,OBL MIFTAH A2 du 09/12/2019 DU 3.51% AMORT,OBL,110,100155,11017050,2.31599651422719%,475693721.14
0185122,018,5122,OBLIGATION FT HYPOTHECA du  06/08/2021  12 ANS AMORT,OBL,84,43611.79,3663390.36,0.770115348846877%,475693721.14
01880129,018,80129,Droit d ' Attribution BOA 1/48  2025,ACT,6,4.35,26.1,0.00000548672367115785%,475693721.14
022001,022,001,ATTIJARI PATRIMOINE VALEURS         ,OPC,121534,117.67,14300905.78,1.40760683252559%,1015973029.51
022015,022,015,PROFIL HARMONIE               ,OPC,13390,615.22,8237795.8,0.810828197277349%,1015973029.51
022070,022,070,FCP ATTIJARI FIXED INCOME DISTRIBUTION,OPC,365000,108.49,39598850,3.89762807179029%,1015973029.51
0221001,022,1001,SONASID,ACT,3380,1985,6709300,0.660381703561154%,1015973029.51
022100844,022,100844,BSF WAFASALAF du 21/05/2021 4 ans 2.41% ,TCN,60,101617.44,6097046.4,0.600118922737603%,1015973029.51
022100964,022,100964,BSF WAFASALAF du 01/11/2024 à 3.43% 5ANS,TCN,291,101405.28,29508936.48,2.90449998404309%,1015973029.51
0221038,022,1038,CDM,ACT,11536,1040,11997440,1.18088174110156%,1015973029.51
0221050,022,1050,CIMENTS DU MAROC,ACT,14810,1737,25724970,2.53205245147177%,1015973029.51
0221081,022,1081,BMCI,ACT,1457,629,916453,0.0902044614749273%,1015973029.51
0221092,022,1092,WAFA ASSURANCE,ACT,1996,4900,9780400,0.962663349903791%,1015973029.51
0221095,022,1095,AFRIQUIA GAZ ,ACT,2038,4099,8353762,0.82224249634156%,1015973029.51
0221105,022,1105,MANAGEM,ACT,12531,7550,94609050,9.31216156846502%,1015973029.51
022112,022,112,ATTIJARI OBLIGATIONS          ,OPC,110500,313.5,34641750,3.40971157637005%,1015973029.51
0221145,022,1145,CIH,ACT,45501,400,18200400,1.79142550750368%,1015973029.51
0221148,022,1148,ITISSALAT AL MAGHRIB,ACT,168860,106.85,18042691,1.77590255606509%,1015973029.51
0221151,022,1151,ADDOHA,ACT,221226,29.9,6614657.4,0.651066239739673%,1015973029.51
0221180,022,1180,LABEL VIE,ACT,2366,4280,10126480,0.996727246281721%,1015973029.51
0221188,022,1188,BCP,ACT,48165,270,13004550,1.28000937251967%,1015973029.51
0221226,022,1226,TOTALENERGIES MARKETING MAROC,ACT,8505,1598,13590990,1.33773137723497%,1015973029.51
0221231,022,1231,SODEP-MARSA MAROC,ACT,88181,901,79451081,7.82019588042794%,1015973029.51
0221232,022,1232,LAFARGE-HOLCIM MAROC,ACT,7370,1799,13258630,1.30501791040601%,1015973029.51
0221244,022,1244,ATW,ACT,109295,731,79894645,7.86385491340581%,1015973029.51
0221246,022,1246,ARADEI CAPITAL,ACT,2660,440,1170400,0.115199908462578%,1015973029.51
0221252,022,1252,TGCC,ACT,20035,834.3,16715200.5,1.64524057376421%,1015973029.51
0221258,022,1258,AKDITAL,ACT,27303,1119,30552057,3.00717205207063%,1015973029.51
0221271,022,1271,CMGP GROUP,ACT,21486,376,8078736,0.795172289553429%,1015973029.51
0221275,022,1275,VICENNE,ACT,2062,420,866040,0.085242420304965%,1015973029.51
0221276,022,1276,CASH PLUS,ACT,3454,290,1001660,0.0985911998552852%,1015973029.51
0221278,022,1278,SGTM,ACT,14029,835,11714215,1.15300452470178%,1015973029.51
022201379,022,201379,BDT DU 05/08/2015 15 ANS à 4%,OBL,120,106747.26,12809671.2,1.26082787908042%,1015973029.51
022201516,022,201516,BDT du 15/01/2018 ATYP jouiss 18/07/2018 à 3.70% 15 ans,OBL,409,106557.02,43581821.18,4.28966320110086%,1015973029.51
022201651,022,201651,BDT du 20/04/2021 ATYP 16/06/2021 à 2.30% 10 ans,OBL,150,98472.67,14770900.5,1.45386738338162%,1015973029.51
022201808,022,201808,BDT DU 20/03/2023 à 4.90% 15 ans ,OBL,144,119318.13,17181810.72,1.69116799569834%,1015973029.51
022201822,022,201822,BDT du 27/06/2023 ATYP 14/03/2024 à 4.75 % 15 ans ,OBL,500,119665.25,59832625,5.88919422682481%,1015973029.51
022201837,022,201837,BDT du 18/09/2024 à 4%  10 ANS ATYP 02/01/2024,OBL,780,108473.11,84609025.8,8.32788108960005%,1015973029.51
022201862,022,201862,BDT du 15/04/2025  5 ans à 3.30%  ATYP 15/07/2024,OBL,460,106923.5,49184810,4.84115311837773%,1015973029.51
0225061,022,5061,OBLIGATION FT MIFTAH A2 du 15/11/2017 à 4.03%,OBL,646,77495.18,50061886.28,4.92748181555023%,1015973029.51
0225106,022,5106,OBLIGATION A1 MIFTTAH 09/12/2019 12 ANS AMORT,OBL,300,32551.56,9765468,0.961193625849482%,1015973029.51
0225116,022,5116,OBLIGATION A1 MIFTTAH 11/06/2021 12 ANS AMORT,OBL,443,55969.61,24794537.23,2.44047199185576%,1015973029.51
0229346,022,9346,OBL ANP DU 31/10/2017 10ANS 3.83%,OBL,7,20384.32,142690.24,0.0140446877875113%,1015973029.51
0229395,022,9395,OBL ANP du 04/06/2019 à 3.91% 15 ans TRANCH B ,OBL,64,61843,3957952,0.389572546222896%,1015973029.51
0229402,022,9402,OBL FEC du 12/07/2019 à 3.49% 15 ans Amrt Annuel,OBL,28,61400.82,1719222.96,0.169219350323618%,1015973029.51
0229425,022,9425,OBL SUB BCP du 26/12/2019 à 3.28% 10ans  Fixe,OBL,152,100108.67,15216517.84,1.49772852211824%,1015973029.51
0229428,022,9428,OBL ATW SUB PERP 27/12/2019 à 5.23% REVIS 10ans,OBL,170,100338.81,17057597.7,1.67894198020461%,1015973029.51
0229523,022,9523,OBL MANAGEM du 21/12/2021 à 3.22% 7 ANS,OBL,10,98933.12,989331.2,0.0973777030751644%,1015973029.51
0229644,022,9644,OBL OCP ORD SUB Fixe  DU 16/12/2024  10 ANS ,OBL,38,102621.92,3899632.96,0.383832330852403%,1015973029.51
022XS1061043367,022,XS1061043367,OBL OCP INTERNATIONAL à 6.875%  30 ANS,OBL,2412,1020.49,2461421.88,0.24227236437439%,1015973029.51
022XS2080771806,022,XS2080771806,EUROBOND DU 27/11/2019 11 ans (2031),OBL,1000,1003.04,1003040,0.0987270302326591%,1015973029.51
022XS2239829216,022,XS2239829216,EUROBOND DU 30/09/2020 10 ans (2030),OBL,1870,1017.32,1902388.4,0.187247923393942%,1015973029.51
022XS2270576965,022,XS2270576965,EUROBOND DU 15/12/2020 SEM (2032),OBL,699,1004.62,702229.38,0.0691188997742079%,1015973029.51
022XS2810168737,022,XS2810168737,OBL OCP INTERNATIONAL 6.75% 10 ANS,OBL,1784,1018.72,1817396.48,0.178882354866893%,1015973029.51
022XS2810168810,022,XS2810168810,OBL OCP INTERNATIONAL 7.50% 30ANS,OBL,321,1020.8,327676.8,0.0322525097106207%,1015973029.51
022XS3041322051,022,XS3041322051,KINGDOM OF MOROCCO 4 3/4 04/02/35 au 26/03/2025 à 99.276,OBL,604,1041.64,629150.56,0.0619259115867906%,1015973029.51
0251001,025,1001,SONASID,ACT,5237,1985,10395445,1.08839829270703%,955114048.75
0251006,025,1006,SMI,ACT,646,5300,3423800,0.358470279489751%,955114048.75
0251035,025,1035,CREDIT EQDOM,ACT,4681,1380,6459780,0.676335984006748%,955114048.75
0251036,025,1036,SOCIETE DE BOISSONS DU MAROC,ACT,1764,2209,3896676,0.407980178398564%,955114048.75
0251038,025,1038,CDM,ACT,13849,1040,14402960,1.50798326323959%,955114048.75
0251050,025,1050,CIMENTS DU MAROC,ACT,26423,1737,45896751,4.80536864263143%,955114048.75
0251080,025,1080,SAMIR ,ACT,10446,0,0,0%,955114048.75
0251081,025,1081,BMCI,ACT,15757,629,9911153,1.03769314386812%,955114048.75
0251092,025,1092,WAFA ASSURANCE,ACT,10776,4900,52802400,5.52838690511409%,955114048.75
0251095,025,1095,AFRIQUIA GAZ ,ACT,3120,4099,12788880,1.3389898323386%,955114048.75
0251096,025,1096,AUTO-HALL ,ACT,19461,90.21,1755576.81,0.183808081589586%,955114048.75
0251105,025,1105,MANAGEM,ACT,8956,7550,67617800,7.07955244596124%,955114048.75
0251145,025,1145,CIH,ACT,73986,400,29594400,3.09852001849742%,955114048.75
0251146,025,1146,RISMA,ACT,10575,370,3912750,0.409663118778411%,955114048.75
0251148,025,1148,ITISSALAT AL MAGHRIB,ACT,602299,106.85,64355648.15,6.73800665315572%,955114048.75
0251151,025,1151,ADDOHA,ACT,502156,29.9,15014464.4,1.57200749163412%,955114048.75
0251171,025,1171,ATLANTASANAD,ACT,12530,135,1691550,0.177104504138936%,955114048.75
0251172,025,1172,SNEP,ACT,4639,458,2124662,0.222451130603789%,955114048.75
0251179,025,1179,CMT,ACT,4342,2100,9118200,0.954671330814722%,955114048.75
0251180,025,1180,LABEL VIE,ACT,9045,4280,38712600,4.05319134931215%,955114048.75
0251181,025,1181,ALLIANCES,ACT,28011,498,13949478,1.46050390717803%,955114048.75
0251185,025,1185,DELTA HOLDING,ACT,66833,68,4544644,0.475822128880606%,955114048.75
0251188,025,1188,BCP,ACT,162217,270,43798590,4.58569215449413%,955114048.75
0251193,025,1193,COLORADO,ACT,977,85,83045,0.00869477316438646%,955114048.75
0251203,025,1203,LESIEUR,ACT,243960,344.95,84154002,8.81088516184387%,955114048.75
0251208,025,1208,JET CONTRACTORS,ACT,2405,2600,6253000,0.654686213461479%,955114048.75
0251210,025,1210,S2M,ACT,59,556,32804,0.00343456365686716%,955114048.75
0251220,025,1220,TAQA MOROCCO ,ACT,2187,1945,4253715,0.445361996880585%,955114048.75
0251224,025,1224,COSUMAR,ACT,167155,202.95,33924107.25,3.55183836887312%,955114048.75
0251226,025,1226,TOTALENERGIES MARKETING MAROC,ACT,10908,1598,17430984,1.82501597822927%,955114048.75
0251231,025,1231,SODEP-MARSA MAROC,ACT,94028,901,84719228,8.87006406312166%,955114048.75
0251232,025,1232,LAFARGE-HOLCIM MAROC,ACT,16666,1799,29982134,3.13911558930988%,955114048.75
0251238,025,1238,IMMORENT INVEST,ACT,6160,91.5,563640,0.0590128478099197%,955114048.75
0251239,025,1239,MUTANDIS,ACT,27130,244.85,6642780.5,0.695496051879218%,955114048.75
0251243,025,1243,BANK OF AFRICA,ACT,203630,209,42558670,4.45587310287169%,955114048.75
0251244,025,1244,ATW,ACT,170215,731,124427165,13.0274667368618%,955114048.75
0251246,025,1246,ARADEI CAPITAL,ACT,16159,440,7109960,0.744409529867676%,955114048.75
0251250,025,1250,SOTHEMA,ACT,2256,1730,3902880,0.408629734334645%,955114048.75
0251252,025,1252,TGCC,ACT,57758,834.3,48187499.4,5.04520894264566%,955114048.75
0251258,025,1258,AKDITAL,ACT,29877,1119,33432363,3.50035297289935%,955114048.75
0251261,025,1261,HPS (VN 10),ACT,27986,520,14552720,1.52366306610669%,955114048.75
0251262,025,1262,CFG BANK,ACT,28825,230,6629750,0.694131764544417%,955114048.75
0251271,025,1271,CMGP GROUP,ACT,27056,376,10173056,1.06511426706726%,955114048.75
0251275,025,1275,VICENNE,ACT,2062,420,866040,0.0906739882146457%,955114048.75
0251276,025,1276,CASH PLUS,ACT,3454,290,1001660,0.10487333960912%,955114048.75
0251278,025,1278,SGTM,ACT,26718,835,22309530,2.3357974923725%,955114048.75
02580129,025,80129,Droit d ' Attribution BOA 1/48  2025,ACT,35,4.35,152.25,0.0000159405047176572%,955114048.75
026008,026,008,ATTIJARI AL MOUCHARAKA    ,OPC,10000,1315.44,13154400,7.81951433567838%,168225281.46
0261001,026,1001,SONASID,ACT,1615,1985,3205775,1.90564401032805%,168225281.46
0261006,026,1006,SMI,ACT,240,5300,1272000,0.756128917699241%,168225281.46
0261041,026,1041,OULMES,ACT,26,1235,32110,0.0190874996441216%,168225281.46
0261050,026,1050,CIMENTS DU MAROC,ACT,5498,1737,9550026,5.67692674793995%,168225281.46
0261080,026,1080,SAMIR ,ACT,33,0,0,0%,168225281.46
0261095,026,1095,AFRIQUIA GAZ ,ACT,834,4099,3418566,2.03213569942093%,168225281.46
0261096,026,1096,AUTO-HALL ,ACT,21373,90.21,1928058.33,1.1461168697515%,168225281.46
0261105,026,1105,MANAGEM,ACT,1676,7550,12653800,7.52193718457756%,168225281.46
0261142,026,1142,DARI,ACT,83,4300,356900,0.212155983275833%,168225281.46
0261148,026,1148,ITISSALAT AL MAGHRIB,ACT,113416,106.85,12118499.6,7.20373269393607%,168225281.46
0261151,026,1151,ADDOHA,ACT,123994,29.9,3707420.6,2.20384270891028%,168225281.46
0261163,026,1163,DISWAY,ACT,1300,880,1144000,0.68004047315089%,168225281.46
0261172,026,1172,SNEP,ACT,1917,458,877986,0.521910852150225%,168225281.46
0261179,026,1179,CMT,ACT,1245,2100,2614500,1.55416592399738%,168225281.46
0261181,026,1181,ALLIANCES,ACT,7973,498,3970554,2.36025998324402%,168225281.46
0261185,026,1185,DELTA HOLDING,ACT,20854,68,1418072,0.842960099512263%,168225281.46
0261193,026,1193,COLORADO,ACT,2643,85,224655,0.133544136796952%,168225281.46
0261203,026,1203,LESIEUR,ACT,1,344.95,344.95,0.000205052413648076%,168225281.46
0261208,026,1208,JET CONTRACTORS,ACT,939,2600,2441400,1.45126819156519%,168225281.46
0261210,026,1210,S2M,ACT,117,556,65052,0.0386695741778074%,168225281.46
0261220,026,1220,TAQA MOROCCO ,ACT,971,1945,1888595,1.12265824946714%,168225281.46
0261224,026,1224,COSUMAR,ACT,40645,202.95,8248902.75,4.90348577717279%,168225281.46
0261226,026,1226,TOTALENERGIES MARKETING MAROC,ACT,2343,1598,3744114,2.2256547693102%,168225281.46
0261231,026,1231,SODEP-MARSA MAROC,ACT,15823,901,14256523,8.47466140420152%,168225281.46
0261232,026,1232,LAFARGE-HOLCIM MAROC,ACT,5559,1799,10000641,5.94479076700366%,168225281.46
0261238,026,1238,IMMORENT INVEST,ACT,14047,91.5,1285300.5,0.76403527986108%,168225281.46
0261239,026,1239,MUTANDIS,ACT,10749,244.85,2631892.65,1.56450482778702%,168225281.46
0261246,026,1246,ARADEI CAPITAL,ACT,8345,440,3671800,2.18266836478622%,168225281.46
0261250,026,1250,SOTHEMA,ACT,1175,1730,2032750,1.20834988793485%,168225281.46
0261252,026,1252,TGCC,ACT,10201,834.3,8510694.3,5.05910540088687%,168225281.46
0261253,026,1253,DISTY TECHNOLOGIES,ACT,4,324,1296,0.000770395501052057%,168225281.46
0261258,026,1258,AKDITAL,ACT,5831,1119,6524889,3.87866136609881%,168225281.46
0261261,026,1261,HPS (VN 10),ACT,7468,520,3883360,2.30842829704129%,168225281.46
0261271,026,1271,CMGP GROUP,ACT,10839,376,4075464,2.42262278572502%,168225281.46
0261275,026,1275,VICENNE,ACT,2501,420,1050420,0.624412686894369%,168225281.46
0261276,026,1276,CASH PLUS,ACT,1288,290,373520,0.222035592247658%,168225281.46
0261278,026,1278,SGTM,ACT,5298,835,4423830,2.62970580973698%,168225281.46
0271001,027,1001,SONASID,ACT,5,1985,9925,0.00614640427533586%,161476524.41
027101013,027,101013,BSF WAFASALAF du 10/10/2025 à 2.98%  5 ans,TCN,100,99289.06,9928906,6.14882320280181%,161476524.41
0271035,027,1035,CREDIT EQDOM,ACT,664,1380,916320,0.56746329124189%,161476524.41
0271038,027,1038,CDM,ACT,1901,1040,1977040,1.22435134594559%,161476524.41
0271050,027,1050,CIMENTS DU MAROC,ACT,2429,1737,4219173,2.61287082776641%,161476524.41
0271081,027,1081,BMCI,ACT,3533,629,2222257,1.37621057185844%,161476524.41
0271092,027,1092,WAFA ASSURANCE,ACT,1157,4900,5669300,3.51091282198102%,161476524.41
0271105,027,1105,MANAGEM,ACT,1087,7550,8206850,5.08237964000404%,161476524.41
0271145,027,1145,CIH,ACT,9052,400,3620800,2.24230736525301%,161476524.41
0271148,027,1148,ITISSALAT AL MAGHRIB,ACT,42745,106.85,4567303.25,2.82846269244891%,161476524.41
0271179,027,1179,CMT,ACT,20,2100,42000,0.026009972752051%,161476524.41
0271180,027,1180,LABEL VIE,ACT,1129,4280,4832120,2.99245975082478%,161476524.41
0271185,027,1185,DELTA HOLDING,ACT,57,68,3876,0.00240034891397499%,161476524.41
0271188,027,1188,BCP,ACT,8082,270,2182140,1.35136671288478%,161476524.41
0271224,027,1224,COSUMAR,ACT,4706,202.95,955082.7,0.591468452451317%,161476524.41
0271226,027,1226,TOTALENERGIES MARKETING MAROC,ACT,2338,1598,3736124,2.31372579614962%,161476524.41
0271231,027,1231,SODEP-MARSA MAROC,ACT,11753,901,10589453,6.55789009497916%,161476524.41
0271243,027,1243,BANK OF AFRICA,ACT,7463,209,1559767,0.96594040879877%,161476524.41
0271244,027,1244,ATW,ACT,20669,731,15109039,9.35680220713515%,161476524.41
0271246,027,1246,ARADEI CAPITAL,ACT,1706,440,750640,0.464860141585704%,161476524.41
0271252,027,1252,TGCC,ACT,8207,834.3,6847100.1,4.2403068340849%,161476524.41
0271258,027,1258,AKDITAL,ACT,1965,1119,2198835,1.36170567705372%,161476524.41
0271271,027,1271,CMGP GROUP,ACT,4174,376,1569424,0.971920844676546%,161476524.41
0271275,027,1275,VICENNE,ACT,800,420,336000,0.208079782016408%,161476524.41
0271276,027,1276,CASH PLUS,ACT,736,290,213440,0.132180204385661%,161476524.41
0271278,027,1278,SGTM,ACT,2258,835,1885430,1.16761864109285%,161476524.41
027201554,027,201554,BDT du 16/07/2020 à 3% ATYP 20/01/2020 15 ans,OBL,60,100787.01,6047220.6,3.74495340551528%,161476524.41
027201631,027,201631,BDT du 14/07/2021 ATYP 18/01/2021 à 3.45% 15 ans,OBL,90,97969.4,8817246,5.46038876686026%,161476524.41
027201792,027,201792,BDT du 16/01/2023 atp  a 4.20%  10 ans,OBL,23,110402.31,2539253.13,1.57252154099667%,161476524.41
027201808,027,201808,BDT DU 20/03/2023 à 4.90% 15 ans ,OBL,156,119318.13,18613628.28,11.5271420090382%,161476524.41
027201837,027,201837,BDT du 18/09/2024 à 4%  10 ANS ATYP 02/01/2024,OBL,73,108473.11,7918537.03,4.90383172348588%,161476524.41
0275106,027,5106,OBLIGATION A1 MIFTTAH 09/12/2019 12 ANS AMORT,OBL,58,32551.56,1887990.48,1.16920430811742%,161476524.41
0275116,027,5116,OBLIGATION A1 MIFTTAH 11/06/2021 12 ANS AMORT,OBL,86,55969.61,4813386.46,2.98085834927836%,161476524.41
02780129,027,80129,Droit d ' Attribution BOA 1/48  2025,ACT,15,4.35,65.25,0.0000404083505255078%,161476524.41
0279300,027,9300,OBL SUBORD CDM du 21/12/2016 à 3.13% REVISABLE 10 ANS,OBL,20,100383.18,2007663.6,1.24331608407821%,161476524.41
0279395,027,9395,OBL ANP du 04/06/2019 à 3.91% 15 ans TRANCH B ,OBL,94,61843,5813242,3.60005395288282%,161476524.41
0279411,027,9411,OBL ONCF du 31/10/19 à 4.02% 30 ANS AMRT LIN 15ans,OBL,34,104064.87,3538205.58,2.19115787445131%,161476524.41
0279425,027,9425,OBL SUB BCP du 26/12/2019 à 3.28% 10ans  Fixe,OBL,29,100108.67,2903151.43,1.79787832355662%,161476524.41
0279523,027,9523,OBL MANAGEM du 21/12/2021 à 3.22% 7 ANS,OBL,48,98933.12,4748789.76,2.94085457768616%,161476524.41
0279644,027,9644,OBL OCP ORD SUB Fixe  DU 16/12/2024  10 ANS ,OBL,26,102621.92,2668169.92,1.6523577837391%,161476524.41
0291001,029,1001,SONASID,ACT,3614,1985,7173790,1.1111388049819%,645625008.13
0291006,029,1006,SMI,ACT,1074,5300,5692200,0.881657297707069%,645625008.13
0291035,029,1035,CREDIT EQDOM,ACT,3241,1380,4472580,0.692751975787689%,645625008.13
0291036,029,1036,SOCIETE DE BOISSONS DU MAROC,ACT,1349,2209,2979941,0.461559103577966%,645625008.13
0291038,029,1038,CDM,ACT,10199,1040,10606960,1.64289794639805%,645625008.13
0291050,029,1050,CIMENTS DU MAROC,ACT,17726,1737,30790062,4.76903180829084%,645625008.13
0291080,029,1080,SAMIR ,ACT,4782,0,0,0%,645625008.13
0291081,029,1081,BMCI,ACT,11728,629,7376912,1.14260010177837%,645625008.13
0291092,029,1092,WAFA ASSURANCE,ACT,7689,4900,37676100,5.83560108818054%,645625008.13
0291095,029,1095,AFRIQUIA GAZ ,ACT,2214,4099,9075186,1.40564350601683%,645625008.13
0291096,029,1096,AUTO-HALL ,ACT,10983,90.21,990776.43,0.153460045308608%,645625008.13
0291105,029,1105,MANAGEM,ACT,6150,7550,46432500,7.19186825406406%,645625008.13
0291145,029,1145,CIH,ACT,50493,400,20197200,3.12831748238804%,645625008.13
0291146,029,1146,RISMA,ACT,7258,370,2685460,0.415947332613124%,645625008.13
0291148,029,1148,ITISSALAT AL MAGHRIB,ACT,425274,106.85,45440526.9,7.03822285812856%,645625008.13
0291151,029,1151,ADDOHA,ACT,312117,29.9,9332298.3,1.44546728867121%,645625008.13
0291167,029,1167,M2M,ACT,15,467.95,7019.25,0.00108720230963957%,645625008.13
0291171,029,1171,ATLANTASANAD,ACT,12391,135,1672785,0.259095446882562%,645625008.13
0291172,029,1172,SNEP,ACT,3193,458,1462394,0.226508264330668%,645625008.13
0291179,029,1179,CMT,ACT,2921,2100,6134100,0.950102601782251%,645625008.13
0291180,029,1180,LABEL VIE,ACT,6176,4280,26433280,4.09421563092202%,645625008.13
0291181,029,1181,ALLIANCES,ACT,19219,498,9571062,1.48244908104192%,645625008.13
0291185,029,1185,DELTA HOLDING,ACT,51822,68,3523896,0.54581157105526%,645625008.13
0291188,029,1188,BCP,ACT,124992,270,33747840,5.22715811423536%,645625008.13
0291194,029,1194,ENNAKL,ACT,21874,50.1,1095887.4,0.169740543845126%,645625008.13
0291203,029,1203,LESIEUR,ACT,42344,344.95,14606562.8,2.26239111187882%,645625008.13
0291208,029,1208,JET CONTRACTORS,ACT,1605,2600,4173000,0.64635042748526%,645625008.13
0291210,029,1210,S2M,ACT,414,556,230184,0.0356528940331337%,645625008.13
0291220,029,1220,TAQA MOROCCO ,ACT,1536,1945,2987520,0.462733004821655%,645625008.13
0291224,029,1224,COSUMAR,ACT,120138,202.95,24382007.1,3.77649669591029%,645625008.13
0291226,029,1226,TOTALENERGIES MARKETING MAROC,ACT,9485,1598,15157030,2.3476522453647%,645625008.13
0291231,029,1231,SODEP-MARSA MAROC,ACT,66858,901,60239058,9.33034768502501%,645625008.13
0291232,029,1232,LAFARGE-HOLCIM MAROC,ACT,11312,1799,20350288,3.1520290793789%,645625008.13
0291238,029,1238,IMMORENT INVEST,ACT,9960,91.5,911340,0.141156242172158%,645625008.13
0291239,029,1239,MUTANDIS,ACT,19759,244.85,4837991.15,0.749350023477691%,645625008.13
0291243,029,1243,BANK OF AFRICA,ACT,140124,209,29285916,4.53605663213454%,645625008.13
0291244,029,1244,ATW,ACT,99050,731,72405550,11.2147994715565%,645625008.13
0291246,029,1246,ARADEI CAPITAL,ACT,10632,440,4678080,0.724581597845733%,645625008.13
0291250,029,1250,SOTHEMA,ACT,1537,1730,2659010,0.411850527243609%,645625008.13
0291252,029,1252,TGCC,ACT,38542,834.3,32155590.6,4.98053671947065%,645625008.13
0291258,029,1258,AKDITAL,ACT,21960,1119,24573240,3.80611650579868%,645625008.13
0291261,029,1261,HPS (VN 10),ACT,18335,520,9534200,1.47673957482146%,645625008.13
0291262,029,1262,CFG BANK,ACT,19646,230,4518580,0.699876854691193%,645625008.13
0291271,029,1271,CMGP GROUP,ACT,18388,376,6913888,1.07088292939976%,645625008.13
0291275,029,1275,VICENNE,ACT,2062,420,866040,0.134139785338925%,645625008.13
0291276,029,1276,CASH PLUS,ACT,2988,290,866520,0.134214131901396%,645625008.13
0291278,029,1278,SGTM,ACT,17993,835,15024155,2.32707141309725%,645625008.13
02980129,029,80129,Droit d ' Attribution BOA 1/48  2025,ACT,33,4.35,143.55,0.0000222342688390868%,645625008.13
031050,031,050,FCP ATTIJARI GOLD,OPC,1260,2880.2,3629052,1.01566679120604%,357307340.5
0311050,031,1050,CIMENTS DU MAROC,ACT,3926,1737,6819462,1.9085703614309%,357307340.5
0311080,031,1080,SAMIR ,ACT,3704,0,0,0%,357307340.5
0311081,031,1081,BMCI,ACT,3954,629,2487066,0.696057908163798%,357307340.5
0311092,031,1092,WAFA ASSURANCE,ACT,2539,4900,12441100,3.48190439709144%,357307340.5
0311095,031,1095,AFRIQUIA GAZ ,ACT,513,4099,2102787,0.588509320031728%,357307340.5
0311180,031,1180,LABEL VIE,ACT,1,4280,4280,0.00119784832688037%,357307340.5
0311188,031,1188,BCP,ACT,4507,270,1216890,0.340572348247069%,357307340.5
0311220,031,1220,TAQA MOROCCO ,ACT,1937,1945,3767465,1.05440459038092%,357307340.5
0311223,031,1223,RESIDENCES DAR SAADA,ACT,80143,155,12422165,3.47660503772942%,357307340.5
0311224,031,1224,COSUMAR,ACT,63500,202.95,12887325,3.60678988065738%,357307340.5
0311226,031,1226,TOTALENERGIES MARKETING MAROC,ACT,6729,1598,10752942,3.00943775321067%,357307340.5
0311231,031,1231,SODEP-MARSA MAROC,ACT,34515,901,31098015,8.70343580304922%,357307340.5
0311232,031,1232,LAFARGE-HOLCIM MAROC,ACT,11581,1799,20834219,5.83089588107692%,357307340.5
0311244,031,1244,ATW,ACT,95505,731,69814155,19.5389646633918%,357307340.5
0311250,031,1250,SOTHEMA,ACT,19392,1730,33548160,9.38916059016705%,357307340.5
0311252,031,1252,TGCC,ACT,30183,834.3,25181676.9,7.04762372493156%,357307340.5
0311258,031,1258,AKDITAL,ACT,11590,1119,12969210,3.6297071260421%,357307340.5
0311261,031,1261,HPS (VN 10),ACT,3900,520,2028000,0.56757859974612%,357307340.5
0311262,031,1262,CFG BANK,ACT,72886,230,16763780,4.69169762270809%,357307340.5
0311275,031,1275,VICENNE,ACT,1428,420,599760,0.167855493581722%,357307340.5
0311276,031,1276,CASH PLUS,ACT,1675,290,485750,0.13594738896779%,357307340.5
0311278,031,1278,SGTM,ACT,13962,835,11658270,3.26281290042515%,357307340.5
031201657,031,201657,BDT DU 14/06/2021 5 ANS à 2.00%,OBL,77,100334.05,7725721.85,2.16220630653402%,357307340.5
0313984,031,3984,FCP STERLING EQUITY,OPC,31362,932.1,29232520.2,8.18133771309968%,357307340.5
031US02079K1079,031,US02079K1079,GOOG ALPHABET C,ACT,2211,331.33,732570.63,0.205025351277383%,357307340.5
