code_position,code_fonds,code_titre,description_titre,classe_titre,quantite_actif,cours,valo_titre_cv,actif_net,poids
001IE00BQQP9F84,001,IE00BQQP9F84,VANECK GOLD MINERS UCITS ETF,OPC,8150,106.140000,865041.000000,1105401326.260000,0.0007825583
001US25459Y6941,001,US25459Y6941,DIREXION SHARES DAILY BULL 3X,OPC,1100,152.280000,167508.000000,1105401326.260000,0.0001515359
001US4642887602,001,US4642887602,i SHARES US AEROSPACE  ETF DJ,OPC,1865,226.180000,421825.700000,1105401326.260000,0.0003816041
001US88636R5110,001,US88636R5110,DEFIANCE DAILY TARGET 2X LONG ORCL ETF,OPC,5000,8.170000,40850.000000,1105401326.260000,0.0000369549
001US92189F1066,001,US92189F1066,VANECK GOLD MINERS ETF,OPC,700,92.440000,64708.000000,1105401326.260000,0.0000585380
004001,004,001,ATTIJARI PATRIMOINE VALEURS,OPC,439562,117.670000,51723260.540000,3044569591.800000,0.0169886938
004057,004,057,FCP ATTIJARI DIVIDEND FUND,OPC,10775,1117.240000,12038261.000000,3044569591.800000,0.0039540108
0041001,004,1001,SONASID,ACT,9083,1985.000000,18029755.000000,3044569591.800000,0.0059219389
004102,004,102,ATTIJARI ACTIONS,OPC,31500,905.180000,28513170.000000,3044569591.800000,0.0093652548
0041035,004,1035,CREDIT EQDOM,ACT,798,1380.000000,1101240.000000,3044569591.800000,0.0003617063
0041038,004,1038,CDM,ACT,45957,1040.000000,47795280.000000,3044569591.800000,0.0156985342
0041050,004,1050,CIMENTS DU MAROC,ACT,81429,1737.000000,141442173.000000,3044569591.800000,0.0464571982
0041080,004,1080,SAMIR,ACT,88775,0.000000,0.000000,3044569591.800000,0.0000000000
0041081,004,1081,BMCI,ACT,156,629.000000,98124.000000,3044569591.800000,0.0000322292
0041092,004,1092,WAFA ASSURANCE,ACT,35657,4900.000000,174719300.000000,3044569591.800000,0.0573871921
0041095,004,1095,AFRIQUIA GAZ,ACT,5000,4099.000000,20495000.000000,3044569591.800000,0.0067316576
0041105,004,1105,MANAGEM,ACT,38854,7550.000000,293347700.000000,3044569591.800000,0.0963511233
0041145,004,1145,CIH,ACT,238399,400.000000,95359600.000000,3044569591.800000,0.0313212088
0041148,004,1148,ITISSALAT AL MAGHRIB,ACT,2330033,106.850000,248964026.050000,3044569591.800000,0.0817731435
0041179,004,1179,CMT,ACT,5370,2100.000000,11277000.000000,3044569591.800000,0.0037039718
0041180,004,1180,LABEL VIE,ACT,17768,4280.000000,76047040.000000,3044569591.800000,0.0249779280
0041188,004,1188,BCP,ACT,131777,270.000000,35579790.000000,3044569591.800000,0.0116863119
0041224,004,1224,COSUMAR,ACT,361995,202.950000,73466885.250000,3044569591.800000,0.0241304667
0041226,004,1226,TOTALENERGIES MARKETING MAROC,ACT,73453,1598.000000,117377894.000000,3044569591.800000,0.0385531979
0041231,004,1231,SODEP-MARSA MAROC,ACT,313552,901.000000,282510352.000000,3044569591.800000,0.0927915567
0041232,004,1232,LAFARGE-HOLCIM MAROC,ACT,41186,1799.000000,74093614.000000,3044569591.800000,0.0243363181
0041238,004,1238,IMMORENT INVEST,ACT,6650,91.500000,608475.000000,3044569591.800000,0.0001998558
0041243,004,1243,BANK OF AFRICA,ACT,348983,209.000000,72937447.000000,3044569591.800000,0.0239565708
0041244,004,1244,ATW,ACT,787596,731.000000,575732676.000000,3044569591.800000,0.1891014998
0041252,004,1252,TGCC,ACT,177382,834.300000,147989802.600000,3044569591.800000,0.0486077911
0041258,004,1258,AKDITAL,ACT,59940,1119.000000,67072860.000000,3044569591.800000,0.0220303258
0041261,004,1261,HPS (VN 10),ACT,9850,520.000000,5122000.000000,3044569591.800000,0.0016823396
0041271,004,1271,CMGP GROUP,ACT,64555,376.000000,24272680.000000,3044569591.800000,0.0079724504
0041275,004,1275,VICENNE,ACT,2062,420.000000,866040.000000,3044569591.800000,0.0002844540
0041278,004,1278,SGTM,ACT,83468,835.000000,69695780.000000,3044569591.800000,0.0228918334
00480129,004,80129,Droit d ' Attribution BOA 1/48  2025,ACT,5,4.350000,21.750000,3044569591.800000,0.0000000071
004US46090E1038,004,US46090E1038,INVESCO QQQ TRUST SERIES 1,OPC,7879,597.030000,4703999.370000,3044569591.800000,0.0015450458
004XS0864259717,004,XS0864259717,EUROBOND DU 11/12/2012  SEM (2042),OBL,2000,1009.070000,2018140.000000,3044569591.800000,0.0006628655
004XS1061043367,004,XS1061043367,OBL OCP INTERNATIONAL à 6.875%  30 ANS,OBL,7755,1020.490000,7913899.950000,3044569591.800000,0.0025993493
004XS2355149316,004,XS2355149316,OBL OCP INTERNATIONAL  du 23/06/2021 à 3.75% 10 ans,OBL,7205,1004.950000,7240664.750000,3044569591.800000,0.0023782228
004XS3040572979,004,XS3040572979,OFFICE CHERIFIEN DES PHO à 6.10% écheance 30/04/2030,OBL,4354,1017.090000,4428409.860000,3044569591.800000,0.0014545274
0051038,005,1038,CDM,ACT,41023,1040.000000,42663920.000000,2238908215.730000,0.0190556807
0051050,005,1050,CIMENTS DU MAROC,ACT,62745,1737.000000,108988065.000000,2238908215.730000,0.0486791125
0051080,005,1080,SAMIR,ACT,251,0.000000,0.000000,2238908215.730000,0.0000000000
0051081,005,1081,BMCI,ACT,32527,629.000000,20459483.000000,2238908215.730000,0.0091381517
0051092,005,1092,WAFA ASSURANCE,ACT,24708,4900.000000,121069200.000000,2238908215.730000,0.0540751064
0051095,005,1095,AFRIQUIA GAZ,ACT,8157,4099.000000,33435543.000000,2238908215.730000,0.0149338605
0051105,005,1105,MANAGEM,ACT,19587,7550.000000,147881850.000000,2238908215.730000,0.0660508765
0051145,005,1145,CIH,ACT,122529,400.000000,49011600.000000,2238908215.730000,0.0218908483
0051148,005,1148,ITISSALAT AL MAGHRIB,ACT,1667714,106.850000,178195240.900000,2238908215.730000,0.0795902394
0051151,005,1151,ADDOHA,ACT,1042273,29.900000,31163962.700000,2238908215.730000,0.0139192677
0051171,005,1171,ATLANTASANAD,ACT,49395,135.000000,6668325.000000,2238908215.730000,0.0029783825
0051180,005,1180,LABEL VIE,ACT,20632,4280.000000,88304960.000000,2238908215.730000,0.0394410809
0051181,005,1181,ALLIANCES,ACT,56464,498.000000,28119072.000000,2238908215.730000,0.0125592786
0051185,005,1185,DELTA HOLDING,ACT,146280,68.000000,9947040.000000,2238908215.730000,0.0044428083
0051188,005,1188,BCP,ACT,359302,270.000000,97011540.000000,2238908215.730000,0.0433298423
0051208,005,1208,JET CONTRACTORS,ACT,7000,2600.000000,18200000.000000,2238908215.730000,0.0081289621
0051220,005,1220,TAQA MOROCCO,ACT,5781,1945.000000,11244045.000000,2238908215.730000,0.0050221107
0051224,005,1224,COSUMAR,ACT,374613,202.950000,76027708.350000,2238908215.730000,0.0339574922
0051226,005,1226,TOTALENERGIES MARKETING MAROC,ACT,28805,1598.000000,46030390.000000,2238908215.730000,0.0205593019
0051231,005,1231,SODEP-MARSA MAROC,ACT,232907,901.000000,209849207.000000,2238908215.730000,0.0937283652
0051232,005,1232,LAFARGE-HOLCIM MAROC,ACT,49983,1799.000000,89919417.000000,2238908215.730000,0.0401621721
0051243,005,1243,BANK OF AFRICA,ACT,282367,209.000000,59014703.000000,2238908215.730000,0.0263586969
