CODE ,OPCVM,Nature WG,Nature juridique,Classification,Dépositaire,AN,Nature WG,Code
MA0000030835,SICAV WG CROISSANCE,WAFA GESTION,SICAV,DIVERSIFIÉ,ATTIJARIWAFA BANK,1024940205.42,MANDATS DIV ,022
MA0000042194,PATRIMOINE CROISSANCE,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,574849933.65,MANDATS DIV ,072
MA0000037939,ATTIJARI FINANCES CORP RENDEMENT,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,397783949.23,MANDATS DIV ,108
MA0000042541,FCP WG EPARGNE,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,377954412.36,MANDATS DIV ,055
MA0000042269,FCP WG BALANCED,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,336134159.55,MANDATS DIV ,059
MA0000042558,WG DYNAMIC,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,286635724.09,MANDATS DIV ,012
MA0000041782,WG OPPORTUNITES,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,250421177.54,MANDATS DIV ,065
MA0000042525,FCP WG HORIZON,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,242206838.73,MANDATS DIV ,052
MA0000039489,FCP UNIVERS DIVERSIFIE,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,210492936.79,MANDATS DIV ,048
MA0000036022,ATTIJARI SOLIDARITE,WAFA GESTION,SICAV,DIVERSIFIÉ,ATTIJARIWAFA BANK,200664836.3,MANDATS DIV ,110
MA0000042277,FCP WG PERFORMANCE,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,186860052.98,MANDATS DIV ,054
MA0000030827,WG DIVERSIFIE,WAFA GESTION,SICAV,DIVERSIFIÉ,ATTIJARIWAFA BANK,162383788.37,MANDATS DIV ,027
MA0000036097,CAPITAL PERFORMANCE,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,159740708.48,MANDATS DIV ,107
MA0000039760,FCP WG INVEST,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,156467410.6,MANDATS DIV ,040
MA0000042533,AWG CAPITAL CROISSANCE,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,145584613.23,MANDATS DIV ,077
MA0000042392,FCP WG RENDEMENT,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,133443779.81,MANDATS DIV ,060
MA0000042251,FCP WG SERENITE,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,98134390.32,MANDATS DIV ,053
MA0000039539,ATTIJARI PRIVATE FUND,WAFA GESTION,FCP,DIVERSIFIÉ,ATTIJARIWAFA BANK,2143769.39,MANDATS DIV ,076
CODE ,OPCVM,Nature WG,Nature juridique,Classification,Dépositaire,AN,Nature WG,Code
MA0000030538,ATTIJARI PATRIMOINE MULTIGESTION,WAFA GESTION,SICAV,DIVERSIFIÉ,ATTIJARIWAFA BANK,25474078.49,Fonds de fonds,111
MA0000030710,ATTIJARI SELECTION,WAFA GESTION,SICAV,DIVERSIFIÉ,ATTIJARIWAFA BANK,54313441.87,Fonds de fonds,010
